1,2,2,0,8,0
1,2,4,9,8,0
1,3,5,8,7,0
2,4,3,6,6,0
1,1,4,9,6,0
4,4,4,1,6,0
2,4,4,6,6,3
2,3,2,8,7,5
1,2,5,5,8,0
3,5,4,7,0,0
1,2,3,8,5,0
1,4,5,0,6,2
2,2,2,8,5,4
3,1,4,5,5,0
2,5,2,8,5,7
1,2,1,5,6,0
2,4,3,6,6,7
1,3,3,4,7,4
3,4,1,1,6,4
4,5,3,0,1,0
3,4,4,1,6,5
2,3,3,4,7,7
1,4,1,9,6,9
3,1,3,4,4,0
1,2,2,0,8,7
2,4,5,5,0,0
1,4,4,4,0,0
1,1,2,5,6,1
1,1,3,5,6,3
1,2,2,9,3,4
3,3,3,7,2,6
3,2,5,7,0,4
1,1,2,4,5,0
3,5,5,0,1,3
2,1,5,6,5,4
3,4,3,4,0,5
3,5,1,1,5,9
1,1,2,4,5,2
1,4,1,8,6,9
5,5,1,5,0,9
1,1,4,3,0,0
3,5,2,2,0,8
